"任务名","任务路径","状态","下次运行","上次运行","上次结果","Execute","Arguments","起始目录","Execute是否存在","Execute类型","Execute解析路径","引用文件数量","存在文件数量","缺失文件数量","缺失文件","存在文件"
"PCR Prediction Framework Firmware Update Task","\Microsoft\Windows\PCRPF\","Ready",,"1999/11/30 0:00:00","267011","%windir%\system32\rundll32.exe","%windir%\system32\pcrpf.dll,NotifyFirmwareUpdateStaged",,"否","缺失","%windir%\system32\rundll32.exe","0","0","0","",""
"WiFiTask","\Microsoft\Windows\NlaSvc\","Ready",,"1999/11/30 0:00:00","267011","%SystemRoot%\System32\WiFiTask.exe","nla",,"否","缺失","%SystemRoot%\System32\WiFiTask.exe","0","0","0","",""
"RunFullMemoryDiagnostic","\Microsoft\Windows\MemoryDiagnostic\","Disabled",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"MapsToastTask","\Microsoft\Windows\Maps\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"RunOnReboot","\Microsoft\Windows\Management\Provisioning\","Disabled",,"1999/11/30 0:00:00","267011","%windir%\system32\ProvTool.exe","/turn 5 /source ContinueSessionTask",,"否","缺失","%windir%\system32\ProvTool.exe","0","0","0","",""
"MapsUpdateTask","\Microsoft\Windows\Maps\","Disabled","2026/6/24 1:02:30","1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"ProcessMemoryDiagnosticEvents","\Microsoft\Windows\MemoryDiagnostic\","Ready",,"2026/6/23 13:21:29","2147946720",,,,"否","空","","0","0","0","",""
"AutomaticOfflineMemoryDiagnostic","\Microsoft\Windows\MemoryDiagnostic\","Ready",,"2026/6/22 16:42:13","2147746065",,,,"否","空","","0","0","0","",""
"ThemesSyncedImageDownload","\Microsoft\Windows\Shell\","Ready",,"2026/6/23 12:04:43","2147942583",,,,"否","空","","0","0","0","",""
"Scheduled Start","\Microsoft\Windows\WindowsUpdate\","Ready",,"1999/11/30 0:00:00","267011","%systemroot%\System32\sc.exe","start wuauserv",,"否","缺失","%systemroot%\System32\sc.exe","0","0","0","",""
"Calibration Loader","\Microsoft\Windows\WindowsColorSystem\","Ready",,"2026/6/22 16:42:13","0",,,,"否","空","","0","0","0","",""
"CacheTask","\Microsoft\Windows\Wininet\","Running",,"2026/6/22 16:42:13","267009",,,,"否","空","","0","0","0","",""
"MoProfileManagement","\Microsoft\Windows\WlanSvc\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"CDSSync","\Microsoft\Windows\WlanSvc\","Ready",,"2026/6/22 16:43:13","0",,,,"否","空","","0","0","0","",""
"UpdateLibrary","\Microsoft\Windows\Windows Media Sharing\","Ready",,"1999/11/30 0:00:00","267011","""%ProgramFiles%\Windows Media Player\wmpnscfg.exe""",,,"否","缺失","%ProgramFiles%\Windows Media Player\wmpnscfg.exe","0","0","0","",""
"WiFiTask","\Microsoft\Windows\WCM\","Ready",,"2026/6/8 9:25:17","0","%SystemRoot%\System32\WiFiTask.exe",,,"否","缺失","%SystemRoot%\System32\WiFiTask.exe","0","0","0","",""
"Usb-Notifications","\Microsoft\Windows\USB\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"ResolutionHost","\Microsoft\Windows\WDI\","Ready",,"2026/6/8 8:54:27","0",,,,"否","空","","0","0","0","",""
"BfeOnServiceStartTypeChange","\Microsoft\Windows\Windows Filtering Platform\","Ready",,"1999/11/30 0:00:00","267011","%windir%\system32\rundll32.exe","bfe.dll,BfeOnServiceStartTypeChange",,"否","缺失","%windir%\system32\rundll32.exe","0","0","0","",""
"QueueReporting","\Microsoft\Windows\Windows Error Reporting\","Ready","2026/6/23 20:34:43","2026/6/23 18:29:28","0","%windir%\system32\wermgr.exe","-upload",,"否","缺失","%windir%\system32\wermgr.exe","0","0","0","",""
"XblGameSaveTask","\Microsoft\XblGameSave\","Ready",,"1999/11/30 0:00:00","267011","%windir%\System32\XblGameSaveTask.exe","standby",,"否","缺失","%windir%\System32\XblGameSaveTask.exe","0","0","0","",""
"OobeDiscovery","\Microsoft\Windows\WwanSvc\","Ready",,"2026/6/17 12:10:04","0",,,,"否","空","","0","0","0","",""
"SoftLandingCreativeManagementTask","\SoftLanding\S-1-5-21-2400464376-1604092282-1729554545-1001\","Ready","2026/6/24 7:47:50","2026/6/23 9:17:56","0",,,,"否","空","","0","0","0","",""
"SoftLandingTriggerTask-128000000001615609-render-{4bd8f13b-c6fb-4d4a-a58c-f8b66f9af296}","\SoftLanding\S-1-5-21-2400464376-1604092282-1729554545-1001\","Disabled","2026/6/23 18:45:56","2026/6/23 9:17:56","0",,,,"否","空","","0","0","0","",""
"SoftLandingDeferralTask-{9c17aaf4-4c2c-4b3f-a12b-24574a8ff590}","\SoftLanding\S-1-5-21-2400464376-1604092282-1729554545-1001\","Ready","2026/6/23 18:47:00","2026/6/23 18:32:01","0",,,,"否","空","","0","0","0","",""
"NotificationTask","\Microsoft\Windows\WwanSvc\","Ready",,"1999/11/30 0:00:00","267011","%SystemRoot%\System32\WiFiTask.exe","wwan",,"否","缺失","%SystemRoot%\System32\WiFiTask.exe","0","0","0","",""
"Work Folders Maintenance Work","\Microsoft\Windows\Work Folders\","Ready",,"2026/6/23 12:04:43","0",,,,"否","空","","0","0","0","",""
"Work Folders Logon Synchronization","\Microsoft\Windows\Work Folders\","Ready",,"2026/6/22 16:47:13","0",,,,"否","空","","0","0","0","",""
"Automatic-Device-Join","\Microsoft\Windows\Workplace Join\","Disabled",,"1999/11/30 0:00:00","267011","%SystemRoot%\System32\dsregcmd.exe","$(Arg0) $(Arg1) $(Arg2)",,"否","缺失","%SystemRoot%\System32\dsregcmd.exe","0","0","0","",""
"Recovery-Check","\Microsoft\Windows\Workplace Join\","Disabled",,"1999/11/30 0:00:00","267011","%SystemRoot%\System32\dsregcmd.exe","/checkrecovery",,"否","缺失","%SystemRoot%\System32\dsregcmd.exe","0","0","0","",""
"Device-Sync","\Microsoft\Windows\Workplace Join\","Disabled",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"Storage Tiers Optimization","\Microsoft\Windows\Storage Tiers Management\","Disabled","2026/6/23 21:00:00","1999/11/30 0:00:00","267011","%windir%\system32\defrag.exe","-c -h -g -# -m 8 -i 13500",,"否","缺失","%windir%\system32\defrag.exe","0","0","0","",""
"Storage Tiers Management Initialization","\Microsoft\Windows\Storage Tiers Management\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"EnableLicenseAcquisition","\Microsoft\Windows\Subscription\","Ready",,"2026/6/17 12:10:04","2147500037","%SystemRoot%\system32\ClipRenew.exe","-e",,"否","缺失","%SystemRoot%\system32\ClipRenew.exe","0","0","0","",""
"PowerGridForecastTask","\Microsoft\Windows\Sustainability\","Ready","2026/6/24 12:22:50","2026/6/23 12:23:20","0",,,,"否","空","","0","0","0","",""
"LicenseAcquisition","\Microsoft\Windows\Subscription\","Disabled","2026/6/24 10:47:47","1999/11/30 0:00:00","267011","%SystemRoot%\system32\ClipRenew.exe",,,"否","缺失","%SystemRoot%\system32\ClipRenew.exe","0","0","0","",""
"MaintenanceTasks","\Microsoft\Windows\StateRepository\","Ready",,"2026/6/23 12:04:43","0","%windir%\system32\rundll32.exe","%windir%\system32\Windows.StateRepositoryClient.dll,StateRepositoryDoMaintenanceTasks",,"否","缺失","%windir%\system32\rundll32.exe","0","0","0","",""
"UpdateUserPictureTaskContained","\Microsoft\Windows\Shell\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"UpdateUserPictureTask","\Microsoft\Windows\Shell\","Ready",,"2026/3/4 9:26:20","0",,,,"否","空","","0","0","0","",""
"SvcRestartTaskLogon","\Microsoft\Windows\SoftwareProtectionPlatform\","Disabled",,"2025/11/3 9:25:45","0",,,,"否","空","","0","0","0","",""
"SpaceManagerTask","\Microsoft\Windows\SpacePort\","Ready",,"1999/11/30 0:00:00","267011","%windir%\system32\spaceman.exe","/Work",,"否","缺失","%windir%\system32\spaceman.exe","0","0","0","",""
"SpaceAgentTask","\Microsoft\Windows\SpacePort\","Ready",,"1999/11/30 0:00:00","267011","%windir%\system32\SpaceAgent.exe",,,"否","缺失","%windir%\system32\SpaceAgent.exe","0","0","0","",""
"MsCtfMonitor","\Microsoft\Windows\TextServicesFramework\","Ready",,"2026/6/22 16:42:13","0",,,,"否","空","","0","0","0","",""
"Interactive","\Microsoft\Windows\Task Manager\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"ForceSynchronizeTime","\Microsoft\Windows\Time Synchronization\","Ready",,"2026/6/17 12:10:05","0",,,,"否","空","","0","0","0","",""
"SynchronizeTimeZone","\Microsoft\Windows\Time Zone\","Ready",,"2026/6/17 18:45:08","0","%windir%\system32\tzsync.exe",,,"否","缺失","%windir%\system32\tzsync.exe","0","0","0","",""
"SynchronizeTime","\Microsoft\Windows\Time Synchronization\","Ready",,"2026/6/23 12:04:43","0","%windir%\system32\sc.exe","start w32time task_started",,"否","缺失","%windir%\system32\sc.exe","0","0","0","",""
"SR","\Microsoft\Windows\SystemRestore\","Ready",,"2026/6/21 10:10:17","0","%windir%\system32\srtasks.exe","ExecuteScheduledSPPCreation",,"否","缺失","%windir%\system32\srtasks.exe","0","0","0","",""
"HybridDriveCachePrepopulate","\Microsoft\Windows\Sysmain\","Disabled",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"SustainabilityTelemetry","\Microsoft\Windows\Sustainability\","Ready",,"2026/6/23 5:17:24","0",,,,"否","空","","0","0","0","",""
"HybridDriveCacheRebalance","\Microsoft\Windows\Sysmain\","Disabled",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"WsSwapAssessmentTask","\Microsoft\Windows\Sysmain\","Ready",,"2026/6/1 10:22:28","0","%windir%\system32\rundll32.exe","sysmain.dll,PfSvWsSwapAssessmentTask",,"否","缺失","%windir%\system32\rundll32.exe","0","0","0","",""
"ResPriStaticDbSync","\Microsoft\Windows\Sysmain\","Ready",,"2026/6/18 9:44:49","0",,,,"否","空","","0","0","0","",""
"Synchronize Language Settings","\Microsoft\Windows\International\","Ready",,"2026/6/22 16:42:43","0",,,,"否","空","","0","0","0","",""
"UserTask","\Microsoft\Windows\CertificateServicesClient\","Ready",,"2026/6/23 16:42:14","0",,,,"否","空","","0","0","0","",""
"maintenancetasks","\Microsoft\Windows\capabilityaccessmanager\","Ready",,"2026/6/23 12:04:43","0","%windir%\system32\rundll32.exe","%windir%\system32\CapabilityAccessManager.dll,CapabilityAccessManagerDoStoreMaintenance",,"否","缺失","%windir%\system32\rundll32.exe","0","0","0","",""
"UserTask-Roam","\Microsoft\Windows\CertificateServicesClient\","Ready",,"2026/6/23 13:27:15","0",,,,"否","空","","0","0","0","",""
"SyspartRepair","\Microsoft\Windows\Chkdsk\","Ready",,"1999/11/30 0:00:00","267011","%windir%\system32\bcdboot.exe","%windir% /sysrepair",,"否","缺失","%windir%\system32\bcdboot.exe","0","0","0","",""
"ProactiveScan","\Microsoft\Windows\Chkdsk\","Ready",,"2026/6/23 12:04:43","0",,,,"否","空","","0","0","0","",""
"BgTaskRegistrationMaintenanceTask","\Microsoft\Windows\BrokerInfrastructure\","Ready",,"2026/6/21 10:10:05","268435456",,,,"否","空","","0","0","0","",""
"Pre-staged app cleanup","\Microsoft\Windows\AppxDeploymentClient\","Disabled",,"2025/11/4 12:12:42","0","%windir%\system32\rundll32.exe","%windir%\system32\AppxDeploymentClient.dll,AppxPreStageCleanupRunTask",,"否","缺失","%windir%\system32\rundll32.exe","0","0","0","",""
"BackupNonMaintenance","\Microsoft\Windows\AppListBackup\","Ready","2026/6/27 3:22:54","1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"Proxy","\Microsoft\Windows\Autochk\","Ready",,"2026/6/17 18:45:05","0","%windir%\system32\rundll32.exe","/d acproxy.dll,PerformAutochkOperations",,"否","缺失","%windir%\system32\rundll32.exe","0","0","0","",""
"BitLocker MDM policy Refresh","\Microsoft\Windows\BitLocker\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"BitLocker Encrypt All Drives","\Microsoft\Windows\BitLocker\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"Data Integrity Scan","\Microsoft\Windows\Data Integrity Scan\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"Data Integrity Check And Scan","\Microsoft\Windows\Data Integrity Scan\","Ready","2026/6/23 23:44:21","1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"Data Integrity Scan for Crash Recovery","\Microsoft\Windows\Data Integrity Scan\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"Device","\Microsoft\Windows\Device Information\","Ready","2026/6/24 3:51:19","2026/6/23 3:20:47","0","%windir%\system32\devicecensus.exe","SystemCxt",,"否","缺失","%windir%\system32\devicecensus.exe","0","0","0","",""
"ScheduledDefrag","\Microsoft\Windows\Defrag\","Ready",,"2026/6/23 12:04:57","0","%windir%\system32\defrag.exe","-c -h -o -$",,"否","缺失","%windir%\system32\defrag.exe","0","0","0","",""
"UsbCeip","\Microsoft\Windows\Customer Experience Improvement Program\","Ready",,"2026/6/18 9:44:35","0",,,,"否","空","","0","0","0","",""
"Backup","\Microsoft\Windows\CloudRestore\","Ready","2026/7/1 16:19:18","2026/6/15 13:15:28","0",,,,"否","空","","0","0","0","",""
"CreateObjectTask","\Microsoft\Windows\CloudExperienceHost\","Ready",,"2025/11/3 9:30:32","0",,,,"否","空","","0","0","0","",""
